Pixel Loc	3 Prior	5 Prior	3 Correct	5 Correct	Total Correct
x=74 y=52	0	1	0.00%	100.00%	50.00%
x=74 y=52	0.1	0.9	0.00%	100.00%	50.00%
x=74 y=52	0.2	0.8	0.00%	100.00%	50.00%
x=74 y=52	0.3	0.7	52.00%	70.00%	61.00%
x=74 y=52	0.4	0.6	52.00%	70.00%	61.00%
x=74 y=52	0.5	0.5	52.00%	70.00%	61.00%
x=74 y=52	0.6	0.4	52.00%	70.00%	61.00%
x=74 y=52	0.7	0.3	52.00%	70.00%	61.00%
x=74 y=52	0.8	0.2	100.00%	0.00%	50.00%
x=74 y=52	0.9	0.1	100.00%	0.00%	50.00%
x=74 y=52	1	0	100.00%	0.00%	50.00%
x=73 y=75	0	1	0.00%	100.00%	50.00%
x=73 y=75	0.1	0.9	0.00%	100.00%	50.00%
x=73 y=75	0.2	0.8	0.00%	100.00%	50.00%
x=73 y=75	0.3	0.7	0.00%	100.00%	50.00%
x=73 y=75	0.4	0.6	48.00%	68.00%	58.00%
x=73 y=75	0.5	0.5	48.00%	68.00%	58.00%
x=73 y=75	0.6	0.4	100.00%	0.00%	50.00%
x=73 y=75	0.7	0.3	100.00%	0.00%	50.00%
x=73 y=75	0.8	0.2	100.00%	0.00%	50.00%
x=73 y=75	0.9	0.1	100.00%	0.00%	50.00%
x=73 y=75	1	0	100.00%	0.00%	50.00%
x=61 y=62	0	1	0.00%	100.00%	50.00%
x=61 y=62	0.1	0.9	0.00%	100.00%	50.00%
x=61 y=62	0.2	0.8	0.00%	100.00%	50.00%
x=61 y=62	0.3	0.7	0.00%	100.00%	50.00%
x=61 y=62	0.4	0.6	0.00%	100.00%	50.00%
x=61 y=62	0.5	0.5	76.00%	36.00%	56.00%
x=61 y=62	0.6	0.4	100.00%	0.00%	50.00%
x=61 y=62	0.7	0.3	100.00%	0.00%	50.00%
x=61 y=62	0.8	0.2	100.00%	0.00%	50.00%
x=61 y=62	0.9	0.1	100.00%	0.00%	50.00%
x=61 y=62	1	0	100.00%	0.00%	50.00%
x=77 y=47	0	1	0.00%	100.00%	50.00%
x=77 y=47	0.1	0.9	0.00%	100.00%	50.00%
x=77 y=47	0.2	0.8	0.00%	100.00%	50.00%
x=77 y=47	0.3	0.7	0.00%	100.00%	50.00%
x=77 y=47	0.4	0.6	0.00%	100.00%	50.00%
x=77 y=47	0.5	0.5	54.00%	58.00%	56.00%
x=77 y=47	0.6	0.4	100.00%	0.00%	50.00%
x=77 y=47	0.7	0.3	100.00%	0.00%	50.00%
x=77 y=47	0.8	0.2	100.00%	0.00%	50.00%
x=77 y=47	0.9	0.1	100.00%	0.00%	50.00%
x=77 y=47	1	0	100.00%	0.00%	50.00%
x=58 y=84	0	1	0.00%	100.00%	50.00%
x=58 y=84	0.1	0.9	0.00%	100.00%	50.00%
x=58 y=84	0.2	0.8	0.00%	100.00%	50.00%
x=58 y=84	0.3	0.7	0.00%	100.00%	50.00%
x=58 y=84	0.4	0.6	0.00%	100.00%	50.00%
x=58 y=84	0.5	0.5	52.00%	52.00%	52.00%
x=58 y=84	0.6	0.4	100.00%	0.00%	50.00%
x=58 y=84	0.7	0.3	100.00%	0.00%	50.00%
x=58 y=84	0.8	0.2	100.00%	0.00%	50.00%
x=58 y=84	0.9	0.1	100.00%	0.00%	50.00%
x=58 y=84	1	0	100.00%	0.00%	50.00%
